			00 00 70 00 00 C8	51200	
226.86	2.51E+05		49 3D 82 0C 26 E3	58150	18
226.93	0.00E+00		00 00 80 F8 37 E3	58167	17
227.07	0.00E+00		00 00 80 D2 5B E3	58203	36
227.14	1.59E+05		C9 26 82 BE 6D E3	58221	18
227.21	2.53E+05		B7 3D 82 AA 7F E3	58239	18
227.28	0.00E+00		00 00 80 98 91 E3	58257	18
227.35	0.00E+00		00 00 80 84 A3 E3	58275	18
227.42	6.24E+05		1B 26 83 70 B5 E3	58293	18
227.49	1.17E+03		92 04 80 5C C7 E3	58311	18
227.56	1.41E+05		80 22 82 4A D9 E3	58329	18
227.63	2.93E+02		25 01 80 36 EB E3	58347	18
227.7	0.00E+00		00 00 80 22 FD E3	58365	18
227.98	0.00E+00		00 00 80 D4 44 E4	58436	71
228.05	2.69E+05		A5 41 82 C2 56 E4	58454	18
228.12	6.14E+04		00 3C 81 AE 68 E4	58472	18
228.19	0.00E+00		00 00 80 9A 7A E4	58490	18
228.4	0.00E+00		00 00 80 60 B0 E4	58544	54
228.47	1.19E+05		00 74 81 4C C2 E4	58562	18
228.54	0.00E+00		00 00 80 38 D4 E4	58580	18
228.61	0.00E+00		00 00 80 26 E6 E4	58598	18
228.68	1.33E+05		6E 20 82 12 F8 E4	58616	18
228.75	3.02E+05		B7 49 82 FE 09 E5	58633	17
228.82	2.16E+05		C9 34 82 EC 1B E5	58651	18
228.89	2.07E+05		80 32 82 D8 2D E5	58669	18
228.96	9.77E+04		6E 5F 81 C4 3F E5	58687	18
229.03	0.00E+00		00 00 80 B0 51 E5	58705	18
229.1	2.62E+05		DB 3F 82 9E 63 E5	58723	18
229.17	1.07E+05		00 68 81 8A 75 E5	58741	18
229.24	0.00E+00		00 00 80 76 87 E5	58759	18
229.31	0.00E+00		00 00 80 64 99 E5	58777	18
229.38	1.13E+05		00 6E 81 50 AB E5	58795	18
229.45	0.00E+00		00 00 80 3C BD E5	58813	18
229.59	0.00E+00		00 00 80 16 E1 E5	58849	36
229.66	6.79E+04		49 42 81 02 F3 E5	58867	18
229.73	0.00E+00		00 00 80 EE 04 E6	58884	17
230.15	0.00E+00		00 00 80 7A 70 E6	58992	108
230.22	4.24E+04		6E 29 81 66 82 E6	59010	18
230.29	5.07E+05		B7 7B 82 52 94 E6	59028	18
230.36	2.93E+02		25 01 80 40 A6 E6	59046	18
230.43	0.00E+00		00 00 80 2C B8 E6	59064	18
231.42	0.00E+00		00 00 80 1C B3 E7	59315	251
231.49	2.28E+05		92 37 82 08 C5 E7	59333	18
231.56	0.00E+00		00 00 80 F4 D6 E7	59350	17
231.63	3.05E+05		80 4A 82 E2 E8 E7	59368	18
231.7	0.00E+00		00 00 80 CE FA E7	59386	18
231.77	8.63E+04		49 54 81 BA 0C E8	59404	18
231.84	0.00E+00		00 00 80 A6 1E E8	59422	18
232.19	0.00E+00		00 00 80 46 78 E8	59512	90
232.26	8.46E+04		92 52 81 32 8A E8	59530	18
232.33	0.00E+00		00 00 80 1E 9C E8	59548	18
232.61	0.00E+00		00 00 80 D2 E3 E8	59619	71
232.68	3.48E+05		DB 54 82 BE F5 E8	59637	18
232.75	2.34E+03		25 09 80 AA 07 E9	59655	18
232.82	0.00E+00		00 00 80 96 19 E9	59673	18
232.89	5.59E+04		92 36 81 84 2B E9	59691	18
232.96	2.93E+02		25 01 80 70 3D E9	59709	18
233.03	4.28E+05		80 68 82 5C 4F E9	59727	18
233.1	0.00E+00		00 00 80 48 61 E9	59745	18
233.73	0.00E+00		00 00 80 9A 02 EA	59906	161
233.8	2.83E+05		25 45 82 86 14 EA	59924	18
233.87	8.78E+02		6E 03 80 72 26 EA	59942	18
233.94	0.00E+00		00 00 80 60 38 EA	59960	18
234.01	1.22E+05		25 77 81 4C 4A EA	59978	18
234.08	0.00E+00		00 00 80 38 5C EA	59996	18
234.15	1.23E+05		49 78 81 26 6E EA	60014	18
234.22	0.00E+00		00 00 80 12 80 EA	60032	18
235.27	0.00E+00		00 00 80 EE 8C EB	60300	268
235.34	6.79E+04		49 42 81 DA 9E EB	60318	18
235.41	0.00E+00		00 00 80 C8 B0 EB	60336	18
235.55	0.00E+00		00 00 80 A0 D4 EB	60372	36
235.62	1.82E+05		5B 2C 82 8C E6 EB	60390	18
235.69	0.00E+00		00 00 80 7A F8 EB	60408	18
236.32	0.00E+00		00 00 80 CA 99 EC	60569	161
236.39	4.51E+05		12 6E 82 B6 AB EC	60587	18
236.46	1.22E+05		25 77 81 A4 BD EC	60605	18
236.53	0.00E+00		00 00 80 90 CF EC	60623	18
236.67	0.00E+00		00 00 80 6A F3 EC	60659	36
236.74	4.15E+05		37 65 82 56 05 ED	60677	18
236.81	8.69E+04		DB 54 81 42 17 ED	60695	18
236.88	0.00E+00		00 00 80 2E 29 ED	60713	18
237.02	0.00E+00		00 00 80 08 4D ED	60749	36
237.09	2.43E+05		6E 3B 82 F4 5E ED	60766	17
237.16	1.79E+04		B7 45 80 E0 70 ED	60784	18
237.23	0.00E+00		00 00 80 CE 82 ED	60802	18
238.42	0.00E+00		00 00 80 82 B3 EE	61107	305
238.49	1.56E+05		00 26 82 70 C5 EE	61125	18
238.56	1.07E+05		00 68 81 5C D7 EE	61143	18
238.63	0.00E+00		00 00 80 48 E9 EE	61161	18
238.7	1.91E+05		80 2E 82 36 FB EE	61179	18
238.77	1.04E+05		00 66 81 22 0D EF	61197	18
238.84	9.95E+03		DB 26 80 0E 1F EF	61215	18
238.91	2.10E+05		49 33 82 FA 30 EF	61232	17
238.98	0.00E+00		00 00 80 E8 42 EF	61250	18
239.12	0.00E+00		00 00 80 C0 66 EF	61286	36
239.19	7.02E+04		92 44 81 AC 78 EF	61304	18
239.26	2.54E+05		00 3E 82 9A 8A EF	61322	18
239.33	0.00E+00		00 00 80 86 9C EF	61340	18
239.4	1.03E+05		92 64 81 72 AE EF	61358	18
239.47	0.00E+00		00 00 80 60 C0 EF	61376	18
239.82	0.00E+00		00 00 80 FE 19 F0	61465	89
239.89	1.08E+05		B7 69 81 EA 2B F0	61483	18
239.96	1.95E+05		80 2F 82 D8 3D F0	61501	18
240.03	8.78E+02		6E 03 80 C4 4F F0	61519	18
240.1	0.00E+00		00 00 80 B0 61 F0	61537	18
240.24	0.00E+00		00 00 80 8A 85 F0	61573	36
240.31	1.74E+05		5B 2A 82 76 97 F0	61591	18
240.38	0.00E+00		00 00 80 62 A9 F0	61609	18
241.29	0.00E+00		00 00 80 66 92 F1	61842	233
241.36	4.35E+05		12 6A 82 52 A4 F1	61860	18
241.43	2.34E+03		25 09 80 3E B6 F1	61878	18
241.5	0.00E+00		00 00 80 2C C8 F1	61896	18
241.57	0.00E+00		00 00 80 18 DA F1	61914	18
241.64	1.07E+05		49 68 81 04 EC F1	61932	18
241.71	3.60E+04		25 23 81 F0 FD F1	61949	17
241.78	1.16E+05		25 71 81 DE 0F F2	61967	18
241.85	1.22E+05		25 77 81 CA 21 F2	61985	18
241.92	1.09E+05		92 6A 81 B6 33 F2	62003	18
241.99	0.00E+00		00 00 80 A4 45 F2	62021	18
242.41	0.00E+00		00 00 80 2E B1 F2	62129	108
242.48	4.78E+05		92 74 82 1A C3 F2	62147	18
242.55	0.00E+00		00 00 80 08 D5 F2	62165	18
242.76	0.00E+00		00 00 80 CE 0A F3	62218	53
242.83	2.13E+05		00 34 82 BA 1C F3	62236	18
242.9	0.00E+00		00 00 80 A6 2E F3	62254	18
243.32	0.00E+00		00 00 80 32 9A F3	62362	108
243.39	2.12E+05		C9 33 82 1E AC F3	62380	18
243.46	0.00E+00		00 00 80 0A BE F3	62398	18
243.53	2.30E+05		25 38 82 F8 CF F3	62415	17
243.6	0.00E+00		00 00 80 E4 E1 F3	62433	18
244.58	0.00E+00		00 00 80 D4 DC F4	62684	251
244.65	4.92E+04		00 30 81 C0 EE F4	62702	18
244.72	3.44E+05		EE 53 82 AC 00 F5	62720	18
244.79	2.47E+05		37 3C 82 9A 12 F5	62738	18
244.86	0.00E+00		00 00 80 86 24 F5	62756	18
245	0.00E+00		00 00 80 5E 48 F5	62792	36
245.07	4.44E+05		49 6C 82 4C 5A F5	62810	18
245.14	0.00E+00		00 00 80 38 6C F5	62828	18
245.21	7.78E+05		7B 2F 83 24 7E F5	62846	18
245.28	7.78E+04		00 4C 81 10 90 F5	62864	18
245.35	2.55E+04		6E 63 80 FE A1 F5	62881	17
245.42	9.04E+04		49 58 81 EA B3 F5	62899	18
245.49	0.00E+00		00 00 80 D6 C5 F5	62917	18
245.91	0.00E+00		00 00 80 62 31 F6	63025	108
245.98	3.07E+05		00 4B 82 4E 43 F6	63043	18
246.05	2.48E+05		80 3C 82 3C 55 F6	63061	18
246.12	1.98E+05		5B 30 82 28 67 F6	63079	18
246.19	0.00E+00		00 00 80 14 79 F6	63097	18
247.59	0.00E+00		00 00 80 90 DF F7	63455	358
247.66	3.99E+05		5B 61 82 7C F1 F7	63473	18
247.73	5.44E+04		25 35 81 68 03 F8	63491	18
247.8	6.52E+04		B7 3F 81 54 15 F8	63509	18
247.87	0.00E+00		00 00 80 42 27 F8	63527	18
248.22	0.00E+00		00 00 80 E0 80 F8	63616	89
248.29	4.53E+05		A5 6E 82 CC 92 F8	63634	18
248.36	1.81E+04		DB 46 80 BA A4 F8	63652	18
248.43	0.00E+00		00 00 80 A6 B6 F8	63670	18
249.62	0.00E+00		00 00 80 5C E7 F9	63975	305
249.69	2.41E+05		DB 3A 82 48 F9 F9	63993	18
249.76	0.00E+00		00 00 80 34 0B FA	64011	18
249.83	1.34E+05		B7 20 82 20 1D FA	64029	18
249.9	1.73E+04		6E 43 80 0E 2F FA	64047	18
249.97	0.00E+00		00 00 80 FA 40 FA	64064	17
250.04	2.70E+05		DB 41 82 E6 52 FA	64082	18
250.11	0.00E+00		00 00 80 D4 64 FA	64100	18
250.54	0.00E+00		00 00 80 5E D0 FA	64208	108
250.61	8.19E+04		00 50 81 4A E2 FA	64226	18
250.68	7.31E+03		92 1C 80 38 F4 FA	64244	18
250.75	4.10E+03		00 10 80 24 06 FB	64262	18
250.82	0.00E+00		00 00 80 10 18 FB	64280	18
250.89	6.50E+04		6E 3F 81 FE 29 FB	64297	17
250.96	0.00E+00		00 00 80 EA 3B FB	64315	18
251.1	0.00E+00		00 00 80 C2 5F FB	64351	36
251.17	1.23E+05		00 78 81 B0 71 FB	64369	18
251.24	0.00E+00		00 00 80 9C 83 FB	64387	18
251.59	0.00E+00		00 00 80 3A DD FB	64477	90
251.66	2.67E+05		37 41 82 28 EF FB	64495	18
251.73	2.49E+04		25 61 80 14 01 FC	64513	18
251.8	0.00E+00		00 00 80 00 13 FC	64531	18
251.94	0.00E+00		00 00 80 DA 36 FC	64566	35
252.01	3.53E+05		49 56 82 C6 48 FC	64584	18
252.08	4.83E+04		25 2F 81 B2 5A FC	64602	18
252.15	3.71E+05		92 5A 82 A0 6C FC	64620	18
252.22	0.00E+00		00 00 80 8C 7E FC	64638	18
252.29	9.95E+04		25 61 81 78 90 FC	64656	18
252.36	2.52E+05		6E 3D 82 64 A2 FC	64674	18
252.43	5.85E+02		49 02 80 52 B4 FC	64692	18
252.5	0.00E+00		00 00 80 3E C6 FC	64710	18
252.85	0.00E+00		00 00 80 DC 1F FD	64799	89
252.92	4.62E+04		25 2D 81 CA 31 FD	64817	18
252.99	2.44E+05		92 3B 82 B6 43 FD	64835	18
253.06	4.68E+03		49 12 80 A2 55 FD	64853	18
253.13	1.86E+05		80 2D 82 8E 67 FD	64871	18
253.2	6.79E+04		49 42 81 7C 79 FD	64889	18
253.27	6.85E+04		DB 42 81 68 8B FD	64907	18
253.34	0.00E+00		00 00 80 54 9D FD	64925	18
253.97	0.00E+00		00 00 80 A6 3E FE	65086	161
254.04	3.40E+05		EE 52 82 92 50 FE	65104	18
254.11	7.12E+05		6E 2B 83 7E 62 FE	65122	18
254.18	2.05E+03		00 08 80 6C 74 FE	65140	18
254.25	0.00E+00		00 00 80 58 86 FE	65158	18
254.88	0.00E+00		00 00 80 A8 27 FF	65319	161
254.95	1.08E+05		25 69 81 96 39 FF	65337	18
255.02	7.52E+04		6E 49 81 82 4B FF	65355	18
255.09	1.86E+05		49 2D 82 6E 5D FF	65373	18
255.16	0.00E+00		00 00 80 5A 6F FF	65391	18
255.3	0.00E+00		00 00 80 34 93 FF	65427	36
255.37	1.07E+05		DB 68 81 20 A5 FF	65445	18
255.44	5.06E+04		6E 31 81 0E B7 FF	65463	18
255.51	0.00E+00		00 00 80 FA C8 FF	65480	17
255.58	0.00E+00		00 00 80 E6 DA FF	65498	18
255.65	1.45E+05		6E 23 82 D2 EC FF	65516	18
255.72	4.65E+04		6E 2D 81 C0 FE FF	65534	18
255.79	6.84E+05		B7 29 93 56 08 80	32776	-32758
255.86	7.58E+04		00 4A 91 4C 11 80	32785	9
255.93	0.00E+00		00 00 90 42 1A 80	32794	9
256.14	0.00E+00		00 00 90 26 35 80	32821	27
256.21	3.01E+04		B7 75 90 1C 3E 80	32830	9
256.28	1.21E+05		00 76 91 12 47 80	32839	9
256.35	8.49E+05		D2 33 93 08 50 80	32848	9
256.42	2.52E+05		6E 3D 92 FE 58 80	32856	8
256.49	2.15E+05		80 34 92 F4 61 80	32865	9
256.56	3.63E+05		B7 58 92 EC 6A 80	32874	9
256.63	0.00E+00		00 00 90 E2 73 80	32883	9
257.4	0.00E+00		00 00 90 76 D6 80	32982	99
257.47	9.77E+04		6E 5F 91 6C DF 80	32991	9
257.54	1.17E+05		92 72 91 64 E8 80	33000	9
257.61	0.00E+00		00 00 90 5A F1 80	33009	9
257.68	0.00E+00		00 00 90 50 FA 80	33018	9
257.75	3.61E+05		37 58 92 46 03 81	33027	9
257.82	3.66E+04		B7 23 91 3C 0C 81	33036	9
257.89	8.57E+04		B7 53 91 32 15 81	33045	9
257.96	2.05E+03		00 08 90 28 1E 81	33054	9
258.03	0.00E+00		00 00 90 20 27 81	33063	9
258.31	0.00E+00		00 00 90 F8 4A 81	33098	35
258.38	1.51E+05		C9 24 92 EE 53 81	33107	9
258.45	0.00E+00		00 00 90 E4 5C 81	33116	9
258.66	0.00E+00		00 00 90 C8 77 81	33143	27
258.73	2.05E+05		12 32 92 BE 80 81	33152	9
258.8	9.60E+04		B7 5D 91 B4 89 81	33161	9
258.87	0.00E+00		00 00 90 AA 92 81	33170	9
258.94	0.00E+00		00 00 90 A0 9B 81	33179	9
259.01	6.86E+05		E0 29 93 96 A4 81	33188	9
259.08	0.00E+00		00 00 90 8E AD 81	33197	9
259.57	0.00E+00		00 00 90 4A EC 81	33260	63
259.64	3.86E+04		B7 25 91 40 F5 81	33269	9
259.71	1.59E+05		B7 26 92 36 FE 81	33278	9
259.78	1.29E+05		00 7E 91 2C 07 82	33287	9
259.85	0.00E+00		00 00 90 22 10 82	33296	9
259.92	0.00E+00		00 00 90 18 19 82	33305	9
259.99	3.87E+05		92 5E 92 0E 22 82	33314	9
260.06	1.52E+04		6E 3B 90 06 2B 82	33323	9
260.13	1.07E+05		92 68 91 FC 33 82	33331	8
260.2	0.00E+00		00 00 90 F2 3C 82	33340	9
260.62	0.00E+00		00 00 90 B8 72 82	33394	54
260.69	3.43E+05		A5 53 92 AE 7B 82	33403	9
260.76	3.75E+04		92 24 91 A4 84 82	33412	9
260.83	0.00E+00		00 00 90 9A 8D 82	33421	9
260.9	1.66E+05		6E 28 92 90 96 82	33430	9
260.97	0.00E+00		00 00 90 86 9F 82	33439	9
261.25	0.00E+00		00 00 90 60 C3 82	33475	36
261.32	2.20E+05		C9 35 92 56 CC 82	33484	9
261.39	0.00E+00		00 00 90 4C D5 82	33493	9
261.67	0.00E+00		00 00 90 26 F9 82	33529	36
261.74	4.62E+04		25 2D 91 1C 02 83	33538	9
261.81	1.11E+05		49 6C 91 12 0B 83	33547	9
261.88	3.89E+04		00 26 91 08 14 83	33556	9
261.95	9.98E+04		6E 61 91 FE 1C 83	33564	8
262.02	2.14E+05		25 34 92 F4 25 83	33573	9
262.09	0.00E+00		00 00 90 EC 2E 83	33582	9
264.47	0.00E+00		00 00 90 A0 5F 84	33887	305
264.54	1.11E+05		00 6C 91 96 68 84	33896	9
264.61	8.34E+04		6E 51 91 8C 71 84	33905	9
264.68	0.00E+00		00 00 90 84 7A 84	33914	9
265.03	0.00E+00		00 00 90 52 A7 84	33959	45
265.1	2.67E+05		37 41 92 48 B0 84	33968	9
265.17	1.58E+04		B7 3D 90 40 B9 84	33977	9
265.24	0.00E+00		00 00 90 36 C2 84	33986	9
265.38	0.00E+00		00 00 90 22 D4 84	34004	18
265.45	2.46E+05		25 3C 92 18 DD 84	34013	9
265.52	1.58E+04		B7 3D 90 0E E6 84	34022	9
265.59	1.58E+05		80 26 92 04 EF 84	34031	9
265.66	2.34E+03		25 09 90 FC F7 84	34039	8
265.73	0.00E+00		00 00 90 F2 00 85	34048	9
265.94	0.00E+00		00 00 90 D4 1B 85	34075	27
266.01	2.02E+05		37 31 92 CA 24 85	34084	9
266.08	1.07E+05		DB 68 91 C0 2D 85	34093	9
266.15	0.00E+00		00 00 90 B8 36 85	34102	9
266.57	0.00E+00		00 00 90 7C 6C 85	34156	54
266.64	2.75E+05		12 43 92 72 75 85	34165	9
266.71	0.00E+00		00 00 90 6A 7E 85	34174	9
266.85	0.00E+00		00 00 90 56 90 85	34192	18
266.92	7.02E+03		6E 1B 90 4C 99 85	34201	9
266.99	1.57E+05		49 26 92 42 A2 85	34210	9
267.06	2.00E+05		DB 30 92 38 AB 85	34219	9
267.13	0.00E+00		00 00 90 2E B4 85	34228	9
267.27	0.00E+00		00 00 90 1C C6 85	34246	18
267.34	1.66E+05		92 28 92 12 CF 85	34255	9
267.41	1.87E+04		25 49 90 08 D8 85	34264	9
267.48	0.00E+00		00 00 90 FE E0 85	34272	8
267.69	0.00E+00		00 00 90 E2 FB 85	34299	27
267.76	6.05E+05		EE 24 93 D8 04 86	34308	9
267.83	2.96E+05		37 48 92 CE 0D 86	34317	9
267.9	0.00E+00		00 00 90 C4 16 86	34326	9
268.6	0.00E+00		00 00 90 62 70 86	34416	90
268.67	1.76E+05		DB 2A 92 58 79 86	34425	9
268.74	8.25E+04		92 50 91 50 82 86	34434	9
268.81	4.39E+03		25 11 90 46 8B 86	34443	9
268.88	0.00E+00		00 00 90 3C 94 86	34452	9
270.5	0.00E+00		00 00 90 5C 62 87	34658	206
270.57	6.07E+05		0E 25 93 52 6B 87	34667	9
270.64	0.00E+00		00 00 90 48 74 87	34676	9
271.13	0.00E+00		00 00 90 04 B3 87	34739	63
271.2	1.79E+04		B7 45 90 FA BB 87	34747	8
271.27	2.58E+04		92 64 90 F2 C4 87	34756	9
271.34	0.00E+00		00 00 90 E8 CD 87	34765	9
271.41	2.14E+05		49 34 92 DE D6 87	34774	9
271.48	0.00E+00		00 00 90 D4 DF 87	34783	9
272.04	0.00E+00		00 00 90 86 27 88	34855	72
272.11	1.55E+05		EE 25 92 7C 30 88	34864	9
272.18	5.27E+03		92 14 90 72 39 88	34873	9
272.25	0.00E+00		00 00 90 6A 42 88	34882	9
272.53	0.00E+00		00 00 90 42 66 88	34918	36
272.6	2.57E+05		C9 3E 92 38 6F 88	34927	9
272.67	5.85E+02		49 02 90 2E 78 88	34936	9
272.74	0.00E+00		00 00 90 26 81 88	34945	9
272.88	0.00E+00		00 00 90 12 93 88	34963	18
272.95	8.66E+04		92 54 91 08 9C 88	34972	9
273.02	0.00E+00		00 00 90 FE A4 88	34980	8
273.65	0.00E+00		00 00 90 A6 F5 88	35061	81
273.72	2.53E+05		C9 3D 92 9C FE 88	35070	9
273.79	3.22E+03		92 0C 90 94 07 89	35079	9
273.86	0.00E+00		00 00 90 8A 10 89	35088	9
273.93	2.33E+05		C9 38 92 80 19 89	35097	9
274	1.08E+05		6E 69 91 76 22 89	35106	9
274.07	0.00E+00		00 00 90 6C 2B 89	35115	9
274.14	3.68E+05		EE 59 92 62 34 89	35124	9
274.21	1.83E+05		92 2C 92 58 3D 89	35133	9
274.28	0.00E+00		00 00 90 50 46 89	35142	9
274.35	1.18E+05		25 73 91 46 4F 89	35151	9
274.42	7.02E+04		92 44 91 3C 58 89	35160	9
274.49	1.09E+05		00 6A 91 32 61 89	35169	9
274.56	0.00E+00		00 00 90 28 6A 89	35178	9
274.7	0.00E+00		00 00 90 14 7C 89	35196	18
274.77	2.38E+05		37 3A 92 0C 85 89	35205	9
274.84	0.00E+00		00 00 90 02 8E 89	35214	9
275.26	0.00E+00		00 00 90 C6 C3 89	35267	53
275.33	7.02E+04		92 44 91 BE CC 89	35276	9
275.4	3.92E+04		49 26 91 B4 D5 89	35285	9
275.47	0.00E+00		00 00 90 AA DE 89	35294	9
275.82	0.00E+00		00 00 90 7A 0B 8A	35339	45
275.89	3.45E+04		B7 21 91 70 14 8A	35348	9
275.96	0.00E+00		00 00 90 66 1D 8A	35357	9
276.52	0.00E+00		00 00 90 18 65 8A	35429	72
276.59	1.51E+05		EE 24 92 0E 6E 8A	35438	9
276.66	2.52E+04		49 62 90 04 77 8A	35447	9
276.73	0.00E+00		00 00 90 FA 7F 8A	35455	8
276.8	5.18E+05		6E 7E 92 F2 88 8A	35464	9
276.87	0.00E+00		00 00 90 E8 91 8A	35473	9
276.94	0.00E+00		00 00 90 DE 9A 8A	35482	9
277.01	6.32E+04		B7 3D 91 D4 A3 8A	35491	9
277.08	7.46E+04		DB 48 91 CA AC 8A	35500	9
277.15	0.00E+00		00 00 90 C0 B5 8A	35509	9
277.22	3.97E+05		00 61 92 B6 BE 8A	35518	9
277.29	0.00E+00		00 00 90 AC C7 8A	35527	9
277.78	0.00E+00		00 00 90 68 06 8B	35590	63
277.85	1.59E+05		C9 26 92 60 0F 8B	35599	9
277.92	0.00E+00		00 00 90 56 18 8B	35608	9
278.76	0.00E+00		00 00 90 E0 83 8B	35715	107
278.83	1.01E+05		DB 62 91 D8 8C 8B	35724	9
278.9	1.96E+05		C9 2F 92 CE 95 8B	35733	9
278.97	1.28E+05		DB 7C 91 C4 9E 8B	35742	9
279.04	0.00E+00		00 00 90 BA A7 8B	35751	9
279.11	1.75E+05		A5 2A 92 B0 B0 8B	35760	9
279.18	5.59E+04		92 36 91 A6 B9 8B	35769	9
279.25	0.00E+00		00 00 90 9C C2 8B	35778	9
279.39	0.00E+00		00 00 90 8A D4 8B	35796	18
279.46	2.57E+05		B7 3E 92 80 DD 8B	35805	9
279.53	0.00E+00		00 00 90 76 E6 8B	35814	9
280.72	0.00E+00		00 00 90 D0 7E 8C	35966	152
280.79	1.19E+05		49 74 91 C6 87 8C	35975	9
280.86	0.00E+00		00 00 90 BE 90 8C	35984	9
281.84	0.00E+00		00 00 90 34 0E 8D	36110	126
281.91	5.98E+05		85 24 93 2C 17 8D	36119	9
281.98	2.60E+04		B7 65 90 22 20 8D	36128	9
282.05	0.00E+00		00 00 90 18 29 8D	36137	9
282.26	0.00E+00		00 00 90 FA 43 8D	36163	26
282.33	2.05E+04		00 50 90 F0 4C 8D	36172	9
282.4	0.00E+00		00 00 90 E8 55 8D	36181	9
282.61	0.00E+00		00 00 90 CA 70 8D	36208	27
282.68	7.61E+03		B7 1D 90 C0 79 8D	36217	9
282.75	2.75E+04		6E 6B 90 B6 82 8D	36226	9
282.82	0.00E+00		00 00 90 AC 8B 8D	36235	9
283.59	0.00E+00		00 00 90 42 EE 8D	36334	99
283.66	2.84E+05		49 45 92 38 F7 8D	36343	9
283.73	5.85E+02		49 02 90 2E 00 8E	36352	9
283.8	0.00E+00		00 00 90 24 09 8E	36361	9
283.87	0.00E+00		00 00 90 1A 12 8E	36370	9
283.94	2.03E+05		A5 31 92 12 1B 8E	36379	9
284.01	0.00E+00		00 00 90 08 24 8E	36388	9
285.2	0.00E+00		00 00 90 62 BC 8E	36540	152
285.27	2.88E+05		37 46 92 58 C5 8E	36549	9
285.34	4.68E+03		49 12 90 4E CE 8E	36558	9
285.41	0.00E+00		00 00 90 46 D7 8E	36567	9
286.88	0.00E+00		00 00 90 78 93 8F	36755	188
286.95	2.25E+05		00 37 92 70 9C 8F	36764	9
287.02	0.00E+00		00 00 90 66 A5 8F	36773	9
288.21	0.00E+00		00 00 90 C0 3D 90	36925	152
288.28	1.26E+06		97 4C 93 B6 46 90	36934	9
288.35	0.00E+00		00 00 90 AC 4F 90	36943	9
288.63	0.00E+00		00 00 90 86 73 90	36979	36
288.7	9.01E+04		00 58 91 7C 7C 90	36988	9
288.77	1.24E+05		DB 78 91 72 85 90	36997	9
288.84	0.00E+00		00 00 90 68 8E 90	37006	9
288.91	3.06E+05		C9 4A 92 5E 97 90	37015	9
288.99	1.05E+04		25 29 90 56 A0 90	37024	9
289.06	0.00E+00		00 00 90 4C A9 90	37033	9
289.27	0.00E+00		00 00 90 2E C4 90	37060	27
289.34	3.88E+05		A5 5E 92 24 CD 90	37069	9
289.41	0.00E+00		00 00 90 1A D6 90	37078	9
289.76	0.00E+00		00 00 90 EA 02 91	37122	44
289.83	2.86E+05		B7 45 92 E0 0B 91	37131	9
289.9	0.00E+00		00 00 90 D6 14 91	37140	9
290.25	0.00E+00		00 00 90 A6 41 91	37185	45
290.32	2.89E+05		92 46 92 9C 4A 91	37194	9
290.39	0.00E+00		00 00 90 92 53 91	37203	9
290.46	6.76E+04		00 42 91 88 5C 91	37212	9
290.53	0.00E+00		00 00 90 80 65 91	37221	9
290.74	0.00E+00		00 00 90 62 80 91	37248	27
290.81	3.72E+05		EE 5A 92 58 89 91	37257	9
290.88	2.93E+04		49 72 90 4E 92 91	37266	9
290.95	0.00E+00		00 00 90 44 9B 91	37275	9
291.02	5.09E+04		B7 31 91 3C A4 91	37284	9
291.09	0.00E+00		00 00 90 32 AD 91	37293	9
291.93	0.00E+00		00 00 90 BC 18 92	37400	107
292	2.93E+02		25 01 90 B2 21 92	37409	9
292.07	0.00E+00		00 00 90 AA 2A 92	37418	9
293.33	0.00E+00		00 00 90 FA CB 92	37579	161
293.4	7.61E+04		49 4A 91 F0 D4 92	37588	9
293.47	0.00E+00		00 00 90 E6 DD 92	37597	9
295.01	0.00E+00		00 00 90 10 A3 93	37795	198
295.08	2.69E+05		B7 41 92 08 AC 93	37804	9
295.15	0.00E+00		00 00 90 FE B4 93	37812	8
295.22	0.00E+00		00 00 90 F4 BD 93	37821	9
295.29	2.74E+05		00 43 92 EA C6 93	37830	9
295.36	2.90E+05		B7 46 92 E0 CF 93	37839	9
295.43	0.00E+00		00 00 90 D6 D8 93	37848	9
296.55	0.00E+00		00 00 90 3A 68 94	37992	144
296.62	8.72E+04		25 55 91 32 71 94	38001	9
296.69	0.00E+00		00 00 90 28 7A 94	38010	9
297.25	0.00E+00		00 00 90 DA C1 94	38081	71
297.32	2.75E+05		12 43 92 D0 CA 94	38090	9
297.39	0.00E+00		00 00 90 C6 D3 94	38099	9
297.53	0.00E+00		00 00 90 B2 E5 94	38117	18
297.6	4.45E+05		B7 6C 92 AA EE 94	38126	9
297.67	2.23E+05		5B 36 92 A0 F7 94	38135	9
297.74	0.00E+00		00 00 90 96 00 95	38144	9
298.37	0.00E+00		00 00 90 3E 51 95	38225	81
298.44	1.66E+05		6E 28 92 34 5A 95	38234	9
298.51	6.59E+05		37 28 93 2A 63 95	38243	9
298.58	0.00E+00		00 00 90 20 6C 95	38252	9
298.93	0.00E+00		00 00 90 F0 98 95	38296	44
299	8.08E+04		DB 4E 91 E6 A1 95	38305	9
299.07	0.00E+00		00 00 90 DC AA 95	38314	9
300.4	0.00E+00		00 00 90 24 55 96	38485	171
300.47	1.28E+05		DB 7C 91 1A 5E 96	38494	9
300.54	1.59E+05		DB 26 92 10 67 96	38503	9
300.61	0.00E+00		00 00 90 06 70 96	38512	9
302.01	0.00E+00		00 00 90 44 23 97	38691	179
